Symbol
NIFTY50-INDEX
LTIM
ADANIENT
LT
HEROMOTOCO
TATASTEEL
TATACONSUM
WIPRO
KOTAKBANK
CIPLA
MARUTI
BAJAJ-AUTO
BHARTIARTL
ULTRACEMCO
BRITANNIA
NTPC
ONGC
TITAN
INDUSINDBK
ITC
BAJAJFINSV
RELIANCE
TCS
NESTLEIND
HDFCLIFE
TECHM
APOLLOHOSP
HINDALCO
BAJFINANCE
COALINDIA
MM
FINNIFTY-INDEX
AXISBANK
BAJFINANCE
BAJAJFINSV
CHOLAFIN
HDFCAMC
HDFCBANK
HDFCLIFE
HDFC
ICICIBANK
ICICIGI
ICICIPRULI
IEX
KOTAKBANK
MUTHOOTFIN
PFC
RECLTD
SBICARD
SBILIFE
SHRIRAMFIN
SBIN
NIFTYBANK-INDEX
AUBANK
AXISBANK
BANDHANBNK
BANKBARODA
FEDERALBNK
HDFCBANK
ICICIBANK
IDFCFIRSTB
INDUSINDBK
KOTAKBANK
PNB
SBIN
NIFTYMIDCAP50-INDEX
ABB
AUBANK
ABBOTINDIA
ALKEM
ASHOKLEY
ASTRAL
AUROPHARMA
BALKRISIND
BATAINDIA
BHARATFORG
CANBK
COFORGE
CONCOR
CUMMINSIND
ESCORTS
FEDERALBNK
GODREJPROP
GUJGASLTD
HINDPETRO
HONAUT
IDFCFIRSTB
INDHOTEL
JINDALSTEL
JUBLFOOD
LTTS
LICHSGFIN
LUPIN
MRF
M&MFIN
MFSL
OBEROIRLTY
OFSS
PAGEIND
PERSISTENT
PETRONET
POLYCAB
PFC
PNB
RECLTD
SRTRANSFIN
SAIL
TVSMOTOR
TATACOMM
TORNTPOWER
TRENT
UBL
IDEA
VOLTAS
ZEEL
ZYDUSLIFE
